"","KO","Gene_identification","A","B","C","D","Target","Target_2","Category","GeneID","Full_GeneName","Notes"
"9157","K14515","EBF1_2; EIN3-binding F-box protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9158","K16642","PTN; pleiotrophin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9159","K02861","RIPK1, RIP1; receptor-interacting serine/threonine-protein kinase 1 [EC:2.7.11.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9160","K12127","TOC1, APRR1; pseudo-response regulator 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9161","K00632","fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]","Pathway module","Carbohydrate and lipid metabolism","Fatty acid metabolism","Jasmonic acid biosynthesis","Phagotrophy","Fatty acid breakdown","Fatty acid breakdown","fadA, fadI","acetyl-CoA acyltransferase [EC:2.3.1.16]",""
"9162","K00632","fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]","Pathway module","Carbohydrate and lipid metabolism","Fatty acid metabolism","Jasmonic acid biosynthesis","Phagotrophy","Fatty acid breakdown","Fatty acid breakdown","fadA, fadI","acetyl-CoA acyltransferase ",""
"9163","K00632","fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]","Pathway module","Carbohydrate and lipid metabolism","Fatty acid metabolism","beta-Oxidation","Phagotrophy","Fatty acid breakdown","Fatty acid breakdown","fadA, fadI","acetyl-CoA acyltransferase [EC:2.3.1.16]",""
"9164","K00632","fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]","Pathway module","Carbohydrate and lipid metabolism","Fatty acid metabolism","beta-Oxidation","Phagotrophy","Fatty acid breakdown","Fatty acid breakdown","fadA, fadI","acetyl-CoA acyltransferase ",""
"9165","K03520","coxL, cutL; carbon-monoxide dehydrogenase large subunit [EC:1.2.7.4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9166","K11150","RDH8; retinol dehydrogenase 8 [EC:1.1.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9167","K07614","GJA5, CX40; gap junction protein, alpha 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9168","K03310","TC.AGCS; alanine or glycine:cation symporter, AGCS family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9169","K18910","dpe, lre; D-psicose/D-tagatose/L-ribulose 3-epimerase [EC:5.1.3.30 5.1.3.31]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9170","K16672","HTH; homeobox protein homothorax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9171","K14351","AADACL3_4; arylacetamide deacetylase-like 3/4 [EC:3.1.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9172","K11222","STAT4; signal transducer and activator of transcription 4","Functional set","Environmental information processing","Cell signaling","JAK-STAT signaling",NA,NA,NA,NA,NA,NA
"9173","K13616","AADAC; arylacetamide deacetylase [EC:3.1.1.3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9174","K11715","ERN2; serine/threonine-protein kinase/endoribonuclease IRE2 [EC:2.7.11.1 3.1.26.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9175","K11577","KNTC1, ROD; kinetochore-associated protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9176","K14695","SLC30A8, ZNT8; solute carrier family 30 (zinc transporter), member 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9177","K08513","VAMP4; vesicle-associated membrane protein 4",NA,NA,NA,NA,"Phagotrophy","SNARE complex","SNARE complex","vesicle-associated membrane protein 4","vesicle-associated membrane protein 4",""
"9178","K09053","ATF1; activating transcription factor 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9179","K10486","BTBD14; BTB/POZ domain-containing protein 14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9180","K09308","HOX_8; homeobox protein HoxB/C/D8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9181","K06483","ITGA4, CD49d; integrin alpha 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9182","K03821","phbC, phaC; polyhydroxyalkanoate synthase [EC:2.3.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9183","K02303","cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]","Pathway module","Nucleotide and amino acid metabolism","Cofactor and vitamin biosynthesis","Heme biosynthesis, glutamate => protoheme/siroheme",NA,NA,NA,NA,NA,NA
"9184","K08327","PDC; phosducin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9185","K04993","MCOLN2; mucolipin 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9186","K07708","glnL, ntrB; two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]","Functional set","Environmental information processing","Two-component regulatory system","GlnL-GlnG (nitrogen regulation) two-component regulatory system",NA,NA,NA,NA,NA,NA
"9187","K06489","CD53, MOX44, TSPAN25; CD53 antigen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9188","K04181","CCR6, CD196; C-C chemokine receptor type 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9189","K15408","coxAC; cytochrome c oxidase subunit I+III [EC:1.9.3.1]","Structural complex","Energy metabolism","ATP synthesis","Cytochrome c oxidase, prokaryotes",NA,NA,NA,NA,NA,NA
"9190","K02796","PTS-Man-EIID, manZ; PTS system, mannose-specific IID component","Structural complex","Environmental information processing","Phosphotransferase system (PTS)","PTS system, mannose-specific II component",NA,NA,NA,NA,NA,NA
"9191","K08316","rsmD; 16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9192","K07788","mdtB; multidrug efflux pump","Functional set","Environmental information processing","Drug efflux transporter/pump","Multidrug resistance, efflux pump MdtABC",NA,NA,NA,NA,NA,NA
"9193","K04066","priA; primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:3.6.4.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9194","K09649","PRSS16; thymus-specific serine protease [EC:3.4.-.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9195","K06980","ygfZ; tRNA-modifying protein YgfZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9196","K03697","clpE; ATP-dependent Clp protease ATP-binding subunit ClpE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9197","K00824","dat; D-alanine transaminase [EC:2.6.1.21]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9198","K11487","PCGF1, NSPC1; polycomb group RING finger protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9199","K10307","FBXO30; F-box protein 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9200","K03601","xseA; exodeoxyribonuclease VII large subunit [EC:3.1.11.6]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9201","K01121","CNP; 2',3'-cyclic-nucleotide 3'-phosphodiesterase [EC:3.1.4.37]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9202","K00661","maa; maltose O-acetyltransferase [EC:2.3.1.79]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9203","K15185","AFF4; AF4/FMR2 family member 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9204","K09339","HLX1; homeobox protein HLX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9205","K05337","fer; ferredoxin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9206","K04415","MAP3K8, COT; mitogen-activated protein kinase kinase kinase 8 [EC:2.7.11.25]","Functional set","Environmental information processing","Cell signaling","MAPK (JNK) signaling",NA,NA,NA,NA,NA,NA
"9207","K04415","MAP3K8, COT; mitogen-activated protein kinase kinase kinase 8 [EC:2.7.11.25]","Functional set","Environmental information processing","Cell signaling","MAPK (p38) signaling",NA,NA,NA,NA,NA,NA
"9208","K13527","mpa; proteasome-associated ATPase","Structural complex","Genetic information processing","Proteasome","Bacterial proteasome",NA,NA,NA,NA,NA,NA
"9209","K00702","E2.4.1.20; cellobiose phosphorylase [EC:2.4.1.20]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9210","K19361","TCTN2; tectonic-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9211","K13155","SNRNP35; U11/U12 small nuclear ribonucleoprotein 35 kDa protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9212","K03981","dsbC; thiol:disulfide interchange protein DsbC [EC:5.3.4.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9213","K13407","CYP94A1; fatty acid omega-hydroxylase [EC:1.14.-.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9214","K15428","DUG1; Cys-Gly metallodipeptidase DUG1 [EC:3.4.13.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9215","K09435","ERG; transcriptional regulator ERG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9216","K05687","PARK7; protein DJ-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9217","K02401","flhB; flagellar biosynthetic protein FlhB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9218","K03641","tolB; TolB protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9219","K08781","CPA5; carboxypeptidase A5 [EC:3.4.17.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9220","K11219","TYK2; non-receptor tyrosine-protein kinase TYK2 [EC:2.7.10.2]","Functional set","Environmental information processing","Cell signaling","JAK-STAT signaling",NA,NA,NA,NA,NA,NA
"9221","K10316","FBXO41; F-box protein 41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9222","K07712","glnG, ntrC; two-component system, NtrC family, nitrogen regulation response regulator GlnG","Functional set","Environmental information processing","Two-component regulatory system","GlnL-GlnG (nitrogen regulation) two-component regulatory system",NA,NA,NA,NA,NA,NA
"9223","K16332","RBL2; retinoblastoma-like protein 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9224","K04917","KCNK6; potassium channel subfamily K member 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9225","K19930","SRCIN1, SNIP; SRC kinase signaling inhibitor 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9226","K13436","PTI1; pto-interacting protein 1 [EC:2.7.11.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9227","K01420","fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9228","K19640","hypX, hoxX; putative two-component system protein, hydrogenase maturation factor HypX/HoxX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9229","K17934","NOXO1, SNX28; NADPH oxidase organizer 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9230","K05391","CNGF; cyclic nucleotide gated channel, other eukaryote",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9231","K04434","MAPK8IP1, JIP1; mitogen-activated protein kinase 8 interacting protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9232","K16091","fecA; Fe(3+) dicitrate transport protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9233","K05184","GABRD; gamma-aminobutyric acid receptor subunit delta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9234","K07166","K07166; ACT domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9235","K17927","SNX15; sorting nexin-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9236","K16767","CEP112; centrosomal protein CEP112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9237","K03743","pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9238","K04230","GALR1; galanin receptor 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9239","K16724","STIL; SCL-interrupting locus protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9240","K18779","tgtA; 7-cyano-7-deazaguanine tRNA-ribosyltransferase [EC:2.4.2.48]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9241","K08215","SLC22A23; MFS transporter, OCT family, solute carrier family 22 (organic anion transporter), member 23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9242","K17900","ATG15, AUT5; lipase ATG15 [EC:3.1.1.3]","Pathway module","Carbohydrate and lipid metabolism","Lipid metabolism","Acylglycerol degradation",NA,NA,NA,NA,NA,NA
"9243","K09614","CORIN; corin [EC:3.4.21.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9244","K16501","CDHR1, PCDH21; cadherin-related family member 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9245","K07074","K07074; uncharacterized protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9246","K02392","flgG; flagellar basal-body rod protein FlgG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9247","K02424","fliY; cystine transport system substrate-binding protein","Structural complex","Environmental information processing","Phosphate and amino acid transport system","Cystine transport system",NA,NA,NA,NA,NA,NA
"9248","K08497","SEC20; protein transport protein SEC20",NA,NA,NA,NA,"Phagotrophy","SNARE complex","SNARE complex","protein transport protein SEC20","protein transport protein SEC20",""
"9249","K08036","TCF1, HNF1A; transcription factor 1, hepatocyte nuclear factor 1-alpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9250","K02793","PTS-Man-EIIA, manX; PTS system, mannose-specific IIA component [EC:2.7.1.191]","Structural complex","Environmental information processing","Phosphotransferase system (PTS)","PTS system, mannose-specific II component",NA,NA,NA,NA,NA,NA
"9251","K00001","E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]",NA,NA,NA,NA,"Phagotrophy-other","other","additional breakdown","","E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]",""
"9252","K11645","fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","fbaB","fructose-bisphosphate aldolase, class I ",""
"9253","K11645","fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","fbaB","fructose-bisphosphate aldolase, class I ",""
"9254","K11645","fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Gluconeogenesis, oxaloacetate => fructose-6P","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","fbaB","fructose-bisphosphate aldolase, class I ",""
"9255","K11645","fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Gluconeogenesis, oxaloacetate => fructose-6P","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","fbaB","fructose-bisphosphate aldolase, class I ",""
"9256","K06987","K06987; uncharacterized protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9257","K04919","KCNK9; potassium channel subfamily K member 9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9258","K01857","pcaB; 3-carboxy-cis,cis-muconate cycloisomerase [EC:5.5.1.2]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9259","K08428","GPR139; G protein-coupled receptor 139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9260","K04247","FSHR; follicle stimulating hormone receptor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9261","K04135","ADRA1A; adrenergic receptor alpha-1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9262","K04619","GPRC5B; G protein-coupled receptor family C group 5 member B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9263","K09836","crtW; beta-carotene ketolase (CrtW type)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9264","K10662","MARCH7, AXOT; E3 ubiquitin-protein ligase MARCH7 [EC:2.3.2.27]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9265","K11877","PSMG3, PAC3; proteasome assembly chaperone 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9266","K08103","HS6ST3; heparan sulfate 6-O-sulfotransferase HS6ST3 [EC:2.8.2.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9267","K08391","GPR174; G protein-coupled receptor 174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9268","K04134","CHRMN; muscarinic acetylcholine receptor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9269","K07020","K07020; uncharacterized protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9270","K01579","panD; aspartate 1-decarboxylase [EC:4.1.1.11]","Pathway module","Nucleotide and amino acid metabolism","Cofactor and vitamin biosynthesis","Pantothenate biosynthesis, valine/L-aspartate => pantothenate",NA,NA,NA,NA,NA,NA
"9271","K01026","pct; propionate CoA-transferase [EC:2.8.3.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9272","K02369","EXTL2; alpha-1,4-N-acetylglucosaminyltransferase EXTL2 [EC:2.4.1.223]","Pathway module","Carbohydrate and lipid metabolism","Glycosaminoglycan metabolism","Glycosaminoglycan biosynthesis, heparan sulfate backbone",NA,NA,NA,NA,NA,NA
"9273","K13986","MAP3K15; mitogen-activated protein kinase kinase kinase 15 [EC:2.7.11.25]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9274","K10740","RPA3; replication factor A3","Structural complex","Genetic information processing","Replication system","RPA complex",NA,NA,NA,NA,NA,NA
"9275","K17343","PRPH2, TSPAN22; peripherin-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9276","K02783","PTS-Gut-EIIC, srlA; PTS system, glucitol/sorbitol-specific IIC component","Structural complex","Environmental information processing","Phosphotransferase system (PTS)","PTS system, glucitol/sorbitol-specific II component",NA,NA,NA,NA,NA,NA
"9277","K03948","NDUFA4; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4","Structural complex","Energy metabolism","ATP synthesis","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex",NA,NA,NA,NA,NA,NA
"9278","K01185","E3.2.1.17; lysozyme [EC:3.2.1.17]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9279","K13282","cphB; cyanophycinase [EC:3.4.15.6]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9280","K10713","fae; 5,6,7,8-tetrahydromethanopterin hydro-lyase [EC:4.2.1.147]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9281","K10497","ZBTB10, RINZF; zinc finger and BTB domain-containing protein 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9282","K18705","B3GNT9; beta-1,3-N-acetylglucosaminyltransferase 9 [EC:2.4.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9283","K10217","dmpC, xylG, praB; aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase [EC:1.2.1.32 1.2.1.85]","Pathway module","Nucleotide and amino acid metabolism","Aromatic amino acid metabolism","Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",NA,NA,NA,NA,NA,NA
"9284","K10217","dmpC, xylG, praB; aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase [EC:1.2.1.32 1.2.1.85]","Pathway module","Secondary metabolism","Aromatics degradation","Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA",NA,NA,NA,NA,NA,NA
"9285","K05343","treS; maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9286","K05726","BCAR1, CAS; breast cancer anti-estrogen resistance 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9287","K09122","K09122; uncharacterized protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9288","K02047","cysW; sulfate transport system permease protein","Structural complex","Environmental information processing","Mineral and organic ion transport system","Sulfate transport system",NA,NA,NA,NA,NA,NA
"9289","K15684","BFAR; bifunctional apoptosis regulator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9290","K06981","ipk; isopentenyl phosphate kinase [EC:2.7.4.26]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9291","K09032","ATF3, LRF1; activating transcription factor 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9292","K18268","NPHS2; podocin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9293","K15310","TP53INP1; tumor protein p53-inducible nuclear protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9294","K11983","RNF182; E3 ubiquitin-protein ligase RNF182 [EC:2.3.2.27]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9295","K02231","cobP, cobU; adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]","Pathway module","Nucleotide and amino acid metabolism","Cofactor and vitamin biosynthesis","Cobalamin biosynthesis, cobinamide => cobalamin",NA,NA,NA,NA,NA,NA
"9296","K14725","SLC9A9, NHE9; solute carrier family 9 (sodium/hydrogen exchanger), member 9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9297","K18411","MAEL; protein maelstrom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9298","K05833","ABC.X4.A; putative ABC transport system ATP-binding protein","Structural complex","Environmental information processing","Metallic cation, iron-siderophore and vitamin B12 transport system","Putative ABC transport system [BR:ko02000]",NA,NA,NA,NA,NA,NA
"9299","K13908","MUC5B, MG1; mucin-5B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9300","K18647","ANP32B; acidic leucine-rich nuclear phosphoprotein 32 family member B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9301","K03337","iolB; 5-deoxy-glucuronate isomerase [EC:5.3.1.30]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9302","K10162","BAMBI; BMP and activin membrane-bound inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9303","K07841","DIRAS2; DIRAS family, GTP-binding Ras-like 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9304","K09788","prpF; 2-methylaconitate isomerase [EC:5.2.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9305","K08302","gatY-kbaY; tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9306","K04467","IKBKA, IKKA, CHUK; inhibitor of nuclear factor kappa-B kinase subunit alpha [EC:2.7.11.10]","Functional set","Environmental information processing","Cell signaling","Toll-like receptor signaling",NA,NA,NA,NA,NA,NA
"9307","K09320","EVX; homeobox even-skipped homolog protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9308","K05871","PTK2B, FAK2; focal adhesion kinase 2 [EC:2.7.10.2]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9309","K06989","nadX; aspartate dehydrogenase [EC:1.4.1.21]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9310","K06206","sfsA; sugar fermentation stimulation protein A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9311","K17293","TSPAN3; tetraspanin-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9312","K03540","RPR2, RPP21; ribonuclease P protein subunit RPR2 [EC:3.1.26.5]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9313","K19244","ala; alanine dehydrogenase [EC:1.4.1.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9314","K05576","ndhE; NAD(P)H-quinone oxidoreductase subunit 4L [EC:1.6.5.3]","Structural complex","Energy metabolism","ATP synthesis","NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria",NA,NA,NA,NA,NA,NA
"9315","K07440","CYP46A1; cholesterol 24-hydroxylase [EC:1.14.14.25]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9316","K07619","GJA12, CX47; gap junction protein, alpha 12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9317","K18682","rny; ribonucrease Y [EC:3.1.-.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9318","K01832","TBXAS1, CYP5A; thromboxane-A synthase [EC:5.3.99.5]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9319","K06848","HAPLN1, CRTL1; hyaluronan and proteoglycan link protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9320","K14078","SLC26A3, DRA; solute carrier family 26 (chloride anion exchanger), member 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9321","K00973","E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9322","K02621","parC; topoisomerase IV subunit A [EC:5.99.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9323","K00349","nqrD; Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:1.6.5.8]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9324","K01302","CPQ; carboxypeptidase Q [EC:3.4.17.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9325","K19872","FKTN; fukutin [EC:2.7.8.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9326","K17846","KLF4; krueppel-like factor 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9327","K14593","CCS1; capsanthin/capsorubin synthase [EC:5.3.99.8]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9328","K15582","oppC; oligopeptide transport system permease protein","Structural complex","Environmental information processing","Peptide and nickel transport system","Oligopeptide transport system",NA,NA,NA,NA,NA,NA
"9329","K16351","LRRC4, NGL2; netrin-G2 ligand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9330","K14345","SLCO2A; solute carrier organic anion transporter family, member 2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9331","K08134","LEPRE; leucine proline-enriched proteoglycan (leprecan)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9332","K08251","A4GNT; alpha 1,4-N-acetylglucosaminyltransferase [EC:2.4.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9333","K15454","PUS9; tRNA pseudouridine synthase 9 [EC:5.4.99.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9334","K18748","SSD1; protein SSD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9335","K06755","ROBO3; roundabout, axon guidance receptor 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9336","K12260","SRX1; sulfiredoxin [EC:1.8.98.2]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9337","K08609","ADAM20; disintegrin and metalloproteinase domain-containing protein 20 [EC:3.4.24.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9338","K07496","K07496; putative transposase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
